date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:51:11	127557/127557	---M-Z	200	added ('OK')	text/html	etag:%2271b6d4ae0a252329da879237b042d8cf%22	https://themeforest.net/item/ruaha-personal-blog-bootstrap-template/11579020?s_rank=1	C:/xampp/htdocs/My%20Web%20Sites/blog1/themeforest.net/item/ruaha-personal-blog-bootstrap-template/115790201cdb.html	(from )
12:51:12	75/75	---M-Z	200	added ('OK')	text/plain	date:Wed,%2014%20Dec%202016%2005:03:54%20GMT	https://themeforest.net/robots.txt		(from )
12:51:13	9251/9251	---M--	200	added ('OK')	image/png	date:Wed,%2014%20Dec%202016%2005:03:54%20GMT	https://themeforest.net/icons/themeforest.net/apple-touch-icon-144x144-precomposed.png	C:/xampp/htdocs/My%20Web%20Sites/blog1/themeforest.net/icons/themeforest.net/apple-touch-icon-144x144-precomposed.png	(from https://themeforest.net/item/ruaha-personal-blog-bootstrap-template/11579020?s_rank=1)
12:51:13	6700/6700	---M--	200	added ('OK')	image/png	date:Wed,%2014%20Dec%202016%2005:03:54%20GMT	https://themeforest.net/icons/themeforest.net/apple-touch-icon-114x114-precomposed.png	C:/xampp/htdocs/My%20Web%20Sites/blog1/themeforest.net/icons/themeforest.net/apple-touch-icon-114x114-precomposed.png	(from https://themeforest.net/item/ruaha-personal-blog-bootstrap-template/11579020?s_rank=1)
12:51:14	3056/3056	---M--	200	added ('OK')	image/png	date:Wed,%2014%20Dec%202016%2005:03:54%20GMT	https://themeforest.net/icons/themeforest.net/apple-touch-icon-72x72-precomposed.png	C:/xampp/htdocs/My%20Web%20Sites/blog1/themeforest.net/icons/themeforest.net/apple-touch-icon-72x72-precomposed.png	(from https://themeforest.net/item/ruaha-personal-blog-bootstrap-template/11579020?s_rank=1)
12:51:14	9251/9251	---M--	200	added ('OK')	image/png	date:Wed,%2014%20Dec%202016%2005:03:54%20GMT	https://themeforest.net/icons/themeforest.net/apple-touch-icon-precomposed.png	C:/xampp/htdocs/My%20Web%20Sites/blog1/themeforest.net/icons/themeforest.net/apple-touch-icon-precomposed.png	(from https://themeforest.net/item/ruaha-personal-blog-bootstrap-template/11579020?s_rank=1)
12:51:15	161547/161547	---M-Z	200	added ('OK')	text/css	etag:%2265ffbfa67839191b2391206981e2fa5c%22	http://public-assets.envato-static.com/assets/market/core/index-abe7217969e760e830849028ce07f4aa.css	C:/xampp/htdocs/My%20Web%20Sites/blog1/public-assets.envato-static.com/assets/market/core/index-abe7217969e760e830849028ce07f4aa.css	(from https://themeforest.net/item/ruaha-personal-blog-bootstrap-template/11579020?s_rank=1)
12:51:15	196954/196954	---M-Z	200	added ('OK')	text/css	etag:%227ff3e80d2d91486acfdbe1ab658d0707%22	http://public-assets.envato-static.com/assets/market/pages/default/index-8eff6a8cee71d53a33715128b4e4f011.css	C:/xampp/htdocs/My%20Web%20Sites/blog1/public-assets.envato-static.com/assets/market/pages/default/index-8eff6a8cee71d53a33715128b4e4f011.css	(from https://themeforest.net/item/ruaha-personal-blog-bootstrap-template/11579020?s_rank=1)
12:51:17	127556/127556	---M-Z	200	added ('OK')	text/html	etag:%2221ef6db64d6b7b7d53a5759e91c0b814%22	https://themeforest.net/item/ruaha-personal-blog-bootstrap-template/11579020	C:/xampp/htdocs/My%20Web%20Sites/blog1/themeforest.net/item/ruaha-personal-blog-bootstrap-template/11579020.html	(from https://themeforest.net/item/ruaha-personal-blog-bootstrap-template/11579020?s_rank=1)
12:51:18	12989/12989	---M-Z	200	added ('OK')	application/javascript	etag:%22343b9861b81bfd8fa94cb10fc7c7ba95%22	http://public-assets.envato-static.com/assets/market/core/head-204490a7a6656cd4a9ab89c4d525870a.js	C:/xampp/htdocs/My%20Web%20Sites/blog1/public-assets.envato-static.com/assets/market/core/head-204490a7a6656cd4a9ab89c4d525870a.js	(from https://themeforest.net/item/ruaha-personal-blog-bootstrap-template/11579020?s_rank=1)
12:51:18	1826/1826	---M--	200	added ('OK')	image/png	etag:%2285665bb3ed3c8481e03e895d23d6fc2c%22	http://dmypbau5frl9g.cloudfront.net/PixelSquid_logo_White.png	C:/xampp/htdocs/My%20Web%20Sites/blog1/dmypbau5frl9g.cloudfront.net/PixelSquid_logo_White.png	(from https://themeforest.net/item/ruaha-personal-blog-bootstrap-template/11579020?s_rank=1)
12:51:20	114959/114959	---M-Z	200	added ('OK')	text/html	etag:%221633f7289232ef63da4e8f3e0f79d943%22	https://themeforest.net/item/ruaha-personal-blog-bootstrap-template/11579020/comments	C:/xampp/htdocs/My%20Web%20Sites/blog1/themeforest.net/item/ruaha-personal-blog-bootstrap-template/11579020/comments.html	(from https://themeforest.net/item/ruaha-personal-blog-bootstrap-template/11579020?s_rank=1)
12:51:21	92606/92606	---M-Z	200	added ('OK')	text/html	etag:%22f956d684615eeeade258f66d0db67720%22	https://themeforest.net/item/ruaha-personal-blog-bootstrap-template/11579020/support	C:/xampp/htdocs/My%20Web%20Sites/blog1/themeforest.net/item/ruaha-personal-blog-bootstrap-template/11579020/support.html	(from https://themeforest.net/item/ruaha-personal-blog-bootstrap-template/11579020?s_rank=1)
